PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
Kamran Hussain,2008-2008,2,1,1,28,28*,-,21,133.33,0,0,0,2,0
Kashif Raza,2001-2001,1,1,1,2,2*,-,2,100.00,0,0,0,0,0
Khalid Latif,2008-2010,5,5,0,147,64,29.40,228,64.47,0,1,1,13,0
Khurram Manzoor,2008-2009,7,7,0,236,83,33.71,375,62.93,0,3,1,21,0
Khushdil Shah,2020-2022,10,8,2,199,41*,33.16,210,94.76,0,0,0,14,7
Liaqat Ali,1977-1978,3,1,0,7,7,7.00,31,22.58,0,0,0,0,0
Mahmood Hamid,1995-1995,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0
Majid Khan,1973-1982,23,22,1,786,109,37.42,1052,74.71,1,7,1,69+,6+
Mansoor Akhtar,1980-1990,41,35,1,593,47,17.44,1148,51.65,0,0,1,43+,2+
Mansoor Amjad,2008-2008,1,1,0,5,5,5.00,10,50.00,0,0,0,0,0
Mansoor Rana,1990-1990,2,2,0,15,10,7.50,24,62.50,0,0,0,1,0
Manzoor Akhtar,1997-1998,7,4,0,97,44,24.25,147,65.98,0,0,0,3,0
Manzoor Elahi,1984-1995,54,46,13,741,50*,22.45,827,89.60,0,1,1,53+,17+
Maqsood Rana,1990-1990,1,1,0,5,5,5.00,13,38.46,0,0,0,0,0
Masood Iqbal,1984-1984,1,1,0,2,2,2.00,2,100.00,0,0,0,0,0
Misbah-ul-Haq,2002-2015,162,149,31,5122,96*,43.40,6945,73.75,0,42,6,342,83
Mohammad Abbas,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Akram,1995-2000,23,9,7,14,7*,7.00,34,41.17,0,0,1,1,0
Mohammad Amir,2009-2019,61,30,10,363,73*,18.15,444,81.75,0,2,5,32,8
Mohammad Asif,2005-2010,35,16,7,34,6,3.77,100,34.00,0,0,3,2,0
Mohammad Hafeez,2003-2019,218,216,15,6614,140*,32.90,8633,76.61,11,38,19,664,110
Mohammad Haris,2022-2022,4,3,0,10,6,3.33,18,55.55,0,0,1,1,0
Mohammad Hasnain,2019-2021,8,4,2,43,28,21.50,26,165.38,0,0,1,7,1
Mohammad Hussain,1997-1998,14,12,7,154,31*,30.80,136,113.23,0,0,0,11,4
Mohammad Irfan,2010-2016,60,33,21,48,12,4.00,149,32.21,0,0,8,5,2
Mohammad Khalil,2005-2005,3,1,1,0,0*,-,0,-,0,0,0,0,0
Mohammad Nawaz,2016-2022,22,18,4,253,53,18.07,291,86.94,0,1,0,16,6
Mohammad Nazir,1980-1984,4,3,3,4,2*,-,16,25.00,0,0,0,0,0
Mohammad Rizwan,2015-2022,49,44,8,1065,115,29.58,1234,86.30,2,6,2,85,9
Mohammad Salman,2011-2011,7,3,1,22,19*,11.00,39,56.41,0,0,1,2,0
Mohammad Sami,2001-2015,87,46,19,314,46,11.62,490,64.08,0,0,5,16,10
Mohammad Talha,2014-2014,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Mohammad Wasim,1996-2000,25,25,2,543,76,23.60,1043,52.06,0,3,4,33,1
Mohammad Wasim,2022-2022,8,4,1,34,17*,11.33,35,97.14,0,0,1,2,2
Mohammad Yousuf,1998-2010,281,267,40,9554,141*,42.08,12753,74.91,15,62,15,774,87
Mohammad Zahid,1996-2002,11,4,2,15,7*,7.50,22,68.18,0,0,0,1,1
Mohsin Kamal,1984-1989,19,6,3,27,11*,9.00,40,67.50,0,0,0,2,0
Mohsin Khan,1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3,151+,7+
Moin-ul-Atiq,1988-1989,5,5,0,199,105,39.80,279,71.32,1,0,0,6+,0+
Moin Khan,1990-2004,219,183,41,3266,72*,23.00,4017,81.30,0,12,17,218,61
Mudassar Nazar,1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6,184+,2+
Muhammad Musa,2020-2020,2,1,1,9,9*,-,3,300.00,0,0,0,2,0
Mujahid Jamshed,1997-1997,4,3,1,27,23,13.50,54,50.00,0,0,0,2,0
Mushtaq Ahmed,1989-2003,144,76,34,399,34*,9.50,698,57.16,0,0,10,21,1
Mushtaq Mohammad,1973-1978,10,9,3,209,55,34.83,353,59.20,0,1,0,12+,0+
Nadeem Ghauri,1990-1990,6,3,2,14,7*,14.00,25,56.00,0,0,0,0,0
Nadeem Khan,1993-1995,2,1,0,2,2,2.00,3,66.66,0,0,0,0,0
Naeem Ahmed,1978-1978,1,1,1,0,0*,-,8,0.00,0,0,0,0,0
Naeem Ashraf,1995-1995,2,2,1,24,16,24.00,43,55.81,0,0,0,2,0
Najaf Shah,2007-2007,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
Naseem Shah,2022-2022,3,1,0,3,3,3.00,9,33.33,0,0,0,0,0
Naseer Malik,1975-1975,3,1,1,0,0*,-,13,0.00,0,0,0,0,0
Nasim-ul-Ghani,1973-1973,1,1,0,1,1,1.00,8,12.50,0,0,0,0,0
Nasir Jamshed,2008-2015,48,48,3,1418,112,31.51,1881,75.38,3,8,5,150,19
Naumanullah,2008-2008,1,1,0,5,5,5.00,4,125.00,0,0,0,1,0
Naved-ul-Hasan,2003-2010,74,51,18,524,33,15.87,620,84.51,0,0,4,38,16
Naved Anjum,1984-1992,13,12,3,113,30,12.55,154,73.37,0,0,1,7,1
Naved Latif,2001-2003,11,11,0,262,113,23.81,417,62.82,1,0,1,32,2
Pervez Mir,1975-1977,3,3,1,26,18,13.00,44,59.09,0,0,0,2,0
Qasim Umar,1983-1987,31,31,3,642,69,22.92,1125,57.06,0,4,3,52,3
